region,title,url,publish_date,source,language,title_for_nrc,sentiment,sentiment_score,anger,fear,joy,trust,sadness,surprise,disgust,anticipation
Venezuela,Trump firma una orden para proteger ingresos del petróleo venezolano ante posibles embargos,https://www.el-carabobeno.com/trump-firma-una-orden-para-proteger-ingresos-del-petroleo-venezolano-ante-posibles-embargos/,1/10/26,el-carabobeno.com,es,Trump signs order to protect Venezuelan oil revenues from possible embargoes,neutral,0.5003,0,0,0,0,0,1,0,0
Venezuela,Precio del dólar del 13 de enero pasa tercera decena en 11 días del 2026,https://acn.com.ve/precio-dolar-13-enero/?utm_source=rss&utm_medium=rss&utm_campaign=precio-dolar-13-enero,1/10/26,acn.com.ve,es,Price of the dollar on January 13 passes the third decade in 11 days of 2026,neutral,0.8006,0,0,0,0,0,0,0,0
Venezuela,Trump prohíbe el cobro de deudas con dinero del petróleo,https://lacalle.com.ve/trump-prohibe-el-cobro-de-deudas-con-dinero-del-petroleo-venezolano/,1/10/26,lacalle.com.ve,es,Trump bans debt collection with oil money,negative,0.5071,1,0,1,1,1,2,0,1
Venezuela,"Navegantes vs Aguilas en vivo, jugada a jugada",https://meridiano.net/beisbol/lvbp/jugada-a-jugada/837191/135/Navegantes-vs-Aguilas-10-01-2026,1/10/26,meridiano.net,es,"Navegantes vs Aguilas live, play by play",neutral,0.7479,0,0,0,0,0,0,0,0
Venezuela,EEUU alerta que los colectivos chavistas acechan al personal diplomático enviado por Trump a Venezuela,https://lapatilla.com/2026/01/10/eeuu-alerta-que-los-colectivos-chavistas-acechan-al-personal-diplomatico-enviado-por-trump-a-venezuela/,1/10/26,lapatilla.com,es,The US warns that Chavista groups are stalking the diplomatic personnel sent by Trump to Venezuela,negative,0.7427,0,0,0,1,0,1,0,0
Venezuela,Orden ejecutiva: Trump prohíbe el cobro de deudas con dinero del petróleo venezolano,https://notifalcon.com/2026/01/orden-ejecutiva-trump-prohibe-el-cobro-de-deudas-con-dinero-del-petroleo-venezolano/,1/10/26,notifalcon.com,es,Executive order: Trump prohibits debt collection with Venezuelan oil money,negative,0.5337,1,0,1,1,1,2,0,1
Venezuela,"El enviado de Trump John McNamara llega para abrir ""proceso exploratorio"" en medio de la transición liderada por Delcy Rodríguez",https://www.aporrea.org/ddhh/n414279.html,1/10/26,aporrea.org,es,"Trump's envoy John McNamara arrives to open ""exploratory process"" in the midst of the transition led by Delcy Rodríguez",neutral,0.7103,0,0,0,0,0,1,1,0
Venezuela,"Colombia: Entrevista a Iván Cepeda, candidato a la presidencia: «Trump no es un lunático, tiene una estrategia neofascista»",https://www.aporrea.org/ddhh/n414277.html,1/10/26,aporrea.org,es,"Colombia: Interview with Iván Cepeda, presidential candidate: ""Trump is not a lunatic, he has a neo-fascist strategy""",negative,0.5083,1,1,0,0,0,1,1,0
Venezuela,Trump firma orden para proteger ingresos petroleros,https://primicia.com.ve/mundo/trump-firma-orden-para-proteger-ingresos-petroleros/,1/10/26,primicia.com.ve,no,Trump firma orden para proteger ingresos petroleros,positive,0.4531,0,0,0,0,0,1,0,0
Venezuela,Trump firma orden para proteger ingresos petroleros venezolanos depositados en cuentas estadounidenses,https://cactus24.com.ve/2026/01/10/trump-firma-orden-para-proteger-ingresos-petroleros-venezolanos-depositados-en-cuentas-estadounidenses/?utm_source=rss&utm_medium=rss&utm_campaign=trump-firma-orden-para-proteger-ingresos-petroleros-venezolanos-depositados-en-cuentas-estadounidenses,1/10/26,cactus24.com.ve,es,Trump signs order to protect Venezuelan oil revenues deposited in US accounts,neutral,0.525,0,0,0,1,0,1,0,0
Venezuela,Trump decreta una “emergencia” para proteger en EEUU las ventas del petróleo de Venezuela,https://lanacionweb.com/nacional/trump-decreta-una-emergencia-para-proteger-en-eeuu-las-ventas-del-petroleo-de-venezuela/,1/3/26,lanacionweb.com,es,Trump declares an “emergency” to protect Venezuelan oil sales in the US,neutral,0.4667,0,1,0,0,1,2,0,0
Venezuela,Trump: Delcy Rodríguez parece ser una aliada,https://www.tachiranews.com/trump-delcy-rodriguez-parece-ser-una-aliada/,1/10/26,tachiranews.com,es,Trump: Delcy Rodríguez seems to be an ally,neutral,0.4752,0,0,0,1,0,1,0,0
Venezuela,Trump tras una semana del arresto de Maduro: Estoy haciendo que Venezuela vuelva a ser próspera y segura,https://lapatilla.com/2026/01/10/trump-tras-una-semana-del-arresto-de-maduro-estoy-haciendo-que-venezuela-vuelva-a-ser-prospera-y-segura/,1/10/26,lapatilla.com,es,Trump after a week of Maduro's arrest: I am making Venezuela prosperous and safe again,positive,0.4874,0,0,2,1,0,1,0,0
Venezuela,Trump firmó una orden para proteger los ingresos petroleros venezolanos depositados en cuentas de EEUU,https://lapatilla.com/2026/01/10/trump-firmo-una-orden-para-proteger-los-ingresos-petroleros-venezolanos-depositados-en-cuentas-de-eeuu/,1/10/26,lapatilla.com,es,Trump signed an order to protect Venezuelan oil revenues deposited in US accounts,neutral,0.4805,0,0,0,1,0,1,0,0
Venezuela,Usan debate del Cártel de los Soles para desviar atención de acusación contra Maduro,https://correodelcaroni.com/pais-politico/usan-debate-del-cartel-de-los-soles-para-desviar-atencion-de-acusacion-contra-maduro/?utm_source=rss&utm_medium=rss&utm_campaign=usan-debate-del-cartel-de-los-soles-para-desviar-atencion-de-acusacion-contra-maduro,1/10/26,correodelcaroni.com,es,They use the Cartel of the Suns debate to divert attention from the accusation against Maduro,negative,0.7554,1,0,0,0,0,0,1,0
Venezuela,Petrolera Halliburton le dice a Trump que sus sanciones los obligaron a salir de Venezuela,https://rnv.gob.ve/petrolera-halliburton-le-dice-a-trump-que-sus-sanciones-los-obligaron-a-salir-de-venezuela/,1/10/26,rnv.gob.ve,es,Halliburton oil company tells Trump that its sanctions forced them to leave Venezuela,negative,0.7341,0,1,0,0,1,2,0,0
Venezuela,Los mercados de predicciones apuestan sobre la próxima jugada de Trump en el exterior,https://lapatilla.com/2026/01/10/los-mercados-de-predicciones-apuestan-sobre-la-proxima-jugada-de-trump-en-el-exterior/,1/10/26,lapatilla.com,es,Prediction markets bet on Trump's next move abroad,neutral,0.8331,0,0,0,0,0,1,0,1
Venezuela,Precio del dólar en Venezuela este sábado 10 de enero de 2026,https://laverdaddemonagas.com/2026/01/10/precio-del-dolar-este-sabado-17/,1/10/26,laverdaddemonagas.com,es,"Price of the dollar in Venezuela this Saturday, January 10, 2026",neutral,0.8933,0,0,0,0,0,0,0,0
Venezuela,Trump y el petróleo venezolano: ¿Beneficio para el pueblo o nuevo intervencionismo? Analistas responden,https://efectococuyo.com/politica/trump-petroleo-venezolano-beneficio-pueblo-intervencionismo-analistas/,1/10/26,efectococuyo.com,es,Trump and Venezuelan oil: Benefit for the people or new interventionism? Analysts respond,neutral,0.6714,0,0,0,0,0,1,0,0
Venezuela,"Presos políticos excarcelados, cientos en la sombra: el teatro de los Rodríguez",https://lapatilla.com/2026/01/10/presos-politicos-excarcelados-cientos-en-la-sombra-el-teatro-de-los-rodriguez/,1/10/26,lapatilla.com,es,"Political prisoners released, hundreds in the shadows: the Rodríguez theater",negative,0.8313,0,0,0,0,0,0,0,0
Venezuela,Trump invita a China y Rusia a comprar crudo venezolano gestionado por EEUU,https://www.diariorepublica.com/mundo/trump-invita-a-china-y-rusia-a-comprar-crudo-venezolano-gestionado-por-eeuu,1/10/26,diariorepublica.com,es,Trump invites China and Russia to buy Venezuelan crude oil managed by the US,negative,0.4582,0,0,0,0,0,1,1,0
Venezuela,"La pausa, el petróleo y la política: Trump replantea su ofensiva contra Venezuela",https://lapatilla.com/2026/01/10/la-pausa-el-petroleo-y-la-politica-trump-replantea-su-ofensiva-contra-venezuela/,1/10/26,lapatilla.com,es,"The pause, oil and politics: Trump rethinks his offensive against Venezuela",negative,0.5685,2,0,0,0,0,1,1,0
Venezuela,adonde llevaran a Mexico?,https://www.elvigia.net/columnas/2026/1/10/a-donde-llevaran-mexico-491778.html,1/10/26,elvigia.net,es,Where will they take Mexico?,neutral,0.7091,0,0,0,0,0,0,0,0
Venezuela,"Trump afirma que considera ""innecesaria"" cualquier nueva agresión contra Venezuela",https://eldiariodeguayana.com.ve/trump-afirma-que-considera-innecesaria-cualquier-nueva-agresion-contra-venezuela/,1/10/26,eldiariodeguayana.com.ve,es,"Trump affirms that he considers any new aggression against Venezuela ""unnecessary""",negative,0.7817,1,1,0,0,0,1,0,0
Venezuela,Trump invita a China y Rusia a comprar crudo venezolano gestionado por EEUU,https://eldiariodeguayana.com.ve/trump-invita-a-china-y-rusia-a-comprar-crudo-venezolano-gestionado-por-eeuu/,1/10/26,eldiariodeguayana.com.ve,es,Trump invites China and Russia to buy Venezuelan crude oil managed by the US,negative,0.4582,0,0,0,0,0,1,1,0
Venezuela,Donald Trump dice que seria un honor recibir el Nobel que le ofreció Maria Machado....pero el Instituto dice.....,https://www.aporrea.org/actualidad/n414261.html,1/9/26,aporrea.org,es,Donald Trump says it would be an honor to receive the Nobel Prize offered to him by Maria Machado....but the Institute says.....,positive,0.5729,0,0,0,2,0,1,0,0
Venezuela,Video: Trump afirma que pronto se reunirá con autoridades de Venezuela,https://www.diariorepublica.com/politica/video-trump-afirma-que-pronto-se-reunira-con-autoridades-de-venezuela,1/10/26,diariorepublica.com,es,Video: Trump affirms that he will soon meet with Venezuelan authorities,neutral,0.7193,0,0,0,0,0,1,0,0
Venezuela,Trump indica que petroleras invertirán 100 mil millones de dólares en el país,https://correodelcaroni.com/laboral-economia/trump-indica-que-petroleras-invertiran-100-mil-millones-de-dolares-en-el-pais/?utm_source=rss&utm_medium=rss&utm_campaign=trump-indica-que-petroleras-invertiran-100-mil-millones-de-dolares-en-el-pais,1/10/26,correodelcaroni.com,es,Trump indicates that oil companies will invest 100 billion dollars in the country,neutral,0.564,0,0,0,0,0,1,0,0
Venezuela,¿Quienes cobran el bono de 15.000 Bs?,https://elperiodicodemonagas.com.ve/economia/quienes-cobran-el-bono-de-15-000-bs/,1/9/26,elperiodicodemonagas.com.ve,es,"Who collects the 15,000 Bs bonus?",neutral,0.8977,0,0,1,0,0,1,0,1
Venezuela,Pagan bono de Corresponsabilidad y Formación a docentes activos,https://primicia.com.ve/economia/pagan-bono-de-corresponsabilidad-y-formacion-a-docentes-activos/,1/9/26,primicia.com.ve,es,They pay co-responsibility and training bonus to active teachers,neutral,0.4963,0,0,2,1,0,1,0,2
Venezuela,Trump percibe a Venezuela como un socio confiable,https://primicia.com.ve/mundo/trump-percibe-a-venezuela-como-un-socio-confiable/,1/10/26,primicia.com.ve,es,Trump perceives Venezuela as a reliable partner,positive,0.6622,0,0,0,1,0,1,0,0
Venezuela,"Comerciante de Polymarket apostó $32,537 en la plataforma por la captura del presidente Nicolás Maduro",https://www.aporrea.org/actualidad/n414258.html,1/9/26,aporrea.org,es,"Polymarket merchant bet $32,537 on the platform for the capture of President Nicolás Maduro",neutral,0.7473,0,0,0,2,0,0,0,0
Venezuela,"Donald Trump presiona a ejecutivos petroleros para que inviertan en Venezuela, Taladren, taladren...Pero...",https://www.aporrea.org/actualidad/n414257.html,1/9/26,aporrea.org,es,"Donald Trump pressures oil executives to invest in Venezuela, Drill, drill...But...",negative,0.5491,0,0,0,0,0,1,0,0
Venezuela,Trump invita a China y Rusia a comprar crudo venezolano gestionado por EE.UU.,https://laverdaddemonagas.com/2026/01/09/trump-invita-a-china-y-rusia-a-comprar-crudo/,1/9/26,laverdaddemonagas.com,es,Trump invites China and Russia to buy US-managed Venezuelan crude,neutral,0.5039,0,0,0,0,0,1,1,0
Venezuela,Donald Trump afirma que trabajará con los líderes de Venezuela en materia petrolera,https://www.diariorepublica.com/mundo/donald-trump-afirma-que-trabajara-con-los-lideres-de-venezuela-en-materia-petrolera,1/9/26,diariorepublica.com,es,Donald Trump affirms that he will work with Venezuelan leaders on oil matters,neutral,0.6514,0,0,0,0,0,1,0,0
Venezuela,Trump cancela “segunda ola de ataque” sobre Venezuela por “cooperación” del Ejecutivo,https://www.diariorepublica.com/mundo/trump-cancela-segunda-ola-de-ataque-sobre-venezuela-por-cooperacion-del-ejecutivo,1/9/26,diariorepublica.com,es,Trump cancels “second wave of attack” on Venezuela due to “cooperation” of the Executive,negative,0.8557,1,1,0,1,0,1,0,0
Venezuela,"Trump cancela segunda ola de ataques contra Venezuela, pero mantiene presencia de barcos",https://correodelcaroni.com/mundo/trump-cancela-segunda-ola-de-ataques-contra-venezuela-pero-mantiene-presencia-de-barcos/?utm_source=rss&utm_medium=rss&utm_campaign=trump-cancela-segunda-ola-de-ataques-contra-venezuela-pero-mantiene-presencia-de-barcos,1/9/26,correodelcaroni.com,es,"Trump cancels second wave of attacks against Venezuela, but maintains ship presence",negative,0.6932,0,0,0,0,0,1,0,1
Venezuela,Trump anuncia reunión con María Corina Machado para abordar tema Venezuela,https://www.diariorepublica.com/politica/trump-anuncia-reunion-con-maria-corina-machado-para-abordar-tema-venezuela,1/9/26,diariorepublica.com,es,Trump announces meeting with María Corina Machado to address Venezuela,neutral,0.7641,0,0,0,0,0,1,0,0
Venezuela,"Trump ordenó la liberación de dos tripulantes del petrolero «Marinera», según Rusia",https://www.diariorepublica.com/mundo/trump-ordeno-la-liberacion-de-dos-tripulantes-del-petrolero-marinera-segun-rusia,1/9/26,diariorepublica.com,es,"Trump ordered the release of two crew members of the “Marinera” oil tanker, according to Russia",neutral,0.5307,0,0,0,1,0,1,0,0
Venezuela,More than 50 Communist Parties around the world condemn US bombing of Caracas and illegal detention of Nicolás Maduro and Cilia Flores,https://prensapcv.wordpress.com/2026/01/09/more-than-50-communist-parties-around-the-world-condemn-us-bombing-of-caracas-and-illegal-detention-of-nicolas-maduro-and-cilia-flores/,1/9/26,prensapcv.wordpress.com,en,More than 50 Communist Parties around the world condemn US bombing of Caracas and illegal detention of Nicolás Maduro and Cilia Flores,negative,0.8198,2,1,0,0,2,0,1,0
Venezuela,Trump ofrece garantías a largo plazo a las petroleras para invertir en Venezuela,https://www.el-carabobeno.com/trump-ofrece-garantias-a-largo-plazo-a-las-petroleras-para-invertir-en-venezuela/,1/9/26,el-carabobeno.com,es,Trump offers long-term guarantees to oil companies to invest in Venezuela,positive,0.6734,0,0,0,0,0,1,0,1
Venezuela,Communists lead global protests against imperialist military aggression in Venezuela,https://prensapcv.wordpress.com/2026/01/09/communists-lead-global-protests-against-imperialist-military-aggression-in-venezuela/,1/9/26,prensapcv.wordpress.com,en,Communists lead global protests against imperialist military aggression in Venezuela,negative,0.7505,1,2,0,0,0,0,0,0
Venezuela,"Trump aseguró que su reunión con Petro saldrá ""fenomenal""",https://lapatilla.com/2026/01/09/trump-aseguro-que-su-reunion-con-petro-saldra-fenomenal/,1/9/26,lapatilla.com,es,"Trump assured that his meeting with Petro will go ""phenomenal""",positive,0.7932,0,0,0,1,0,1,0,0
Venezuela,What does authoritarian drift mean according to Venezuelan communists? (IV),https://prensapcv.wordpress.com/2026/01/09/what-does-authoritarian-drift-mean-according-to-venezuelan-communists-iv/,1/9/26,prensapcv.wordpress.com,en,What does authoritarian drift mean according to Venezuelan communists? (IV),neutral,0.6918,0,0,0,0,0,0,0,0
Venezuela,Shattered wages and rising prices: A crisis that hits workers and pensioners,https://prensapcv.wordpress.com/2026/01/09/shattered-wages-and-rising-prices-a-crisis-that-hits-workers-and-pensioners/,1/9/26,prensapcv.wordpress.com,en,Shattered wages and rising prices: A crisis that hits workers and pensioners,negative,0.9147,0,0,2,0,1,0,0,1
Venezuela,Oil as the focus of global confrontation: Energy crisis & imperialist realignment,https://prensapcv.wordpress.com/2026/01/09/oil-as-the-focus-of-global-confrontation-energy-crisis-imperialist-realignment/,1/9/26,prensapcv.wordpress.com,en,Oil as the focus of global confrontation: Energy crisis & imperialist realignment,negative,0.6654,0,0,0,0,0,0,0,0
Venezuela,Presidente de EEUU. Donald Trump reitera intención de controlar Groenlandia “por las buenas o por las malas”,https://www.noticiasbarquisimeto.com/presidente-de-eeuu-donald-trump-reitera-intencion-de-controlar-groenlandia-por-las-buenas-o-por-las-malas/?utm_source=rss&utm_medium=rss&utm_campaign=presidente-de-eeuu-donald-trump-reitera-intencion-de-controlar-groenlandia-por-las-buenas-o-por-las-malas,1/10/26,noticiasbarquisimeto.com,es,President of the USA. Donald Trump reiterates intention to control Greenland “by hook or by crook”,neutral,0.6596,0,0,0,1,0,1,0,0
Venezuela,"Repsol expresó a Trump intención de ""invertir con fuerza"" en Venezuela y triplicar producción",https://lapatilla.com/2026/01/09/repsol-expreso-a-trump-intencion-de-invertir-con-fuerza-en-venezuela-y-triplicar-produccion/,1/9/26,lapatilla.com,es,"Repsol expressed to Trump its intention to ""invest strongly"" in Venezuela and triple production",neutral,0.4787,0,0,0,0,0,1,0,1
Venezuela,Trump anunció un acuerdo multimillonario con las petroleras para operar en Venezuela,https://lapatilla.com/2026/01/09/trump-anuncio-acuerdo-multimillonario-con-las-petroleras-para-operar-en-venezuela/,1/9/26,lapatilla.com,es,Trump announced a multimillion-dollar agreement with oil companies to operate in Venezuela,positive,0.5388,0,0,0,1,0,1,0,0
Venezuela,Trump leyó en voz alta una nota confidencial de Rubio en plena transmisión en vivo,https://lapatilla.com/2026/01/09/trump-leyo-en-voz-alta-una-nota-confidencial-de-rubio-en-plena-transmision-en-vivo/,1/9/26,lapatilla.com,es,Trump read aloud a confidential note from Rubio during the live broadcast,neutral,0.5585,0,0,0,1,0,1,0,0
Venezuela,"Cardenales vs Bravos en vivo, jugada a jugada",https://meridiano.net/beisbol/lvbp/jugada-a-jugada/837194/103/Cardenales-vs-Bravos-09-01-2026,1/9/26,meridiano.net,es,"Cardinals vs Braves live, play by play",neutral,0.7625,0,0,0,0,0,0,0,0
Venezuela,Arranca pago para adultos mayores en el Sistema Patria,https://lacalle.com.ve/arranca-pago-para-adultos-mayores-en-el-sistema-patria-este-9-de-enero/,1/10/26,lacalle.com.ve,es,Payment begins for older adults in the Patria System,neutral,0.7473,0,0,0,1,1,0,0,0
Venezuela,"Trump promete a empresas petroleras ""completa seguridad"" si invierten en Venezuela",https://lacalle.com.ve/trump-promete-a-empresas-petroleras-completa-seguridad-si-invierten-en-venezuela/,1/10/26,lacalle.com.ve,es,"Trump promises oil companies ""complete security"" if they invest in Venezuela",neutral,0.4753,0,0,0,0,0,1,0,0
Venezuela,Trump: Estados Unidos decidirá qué compañías petroleras podrán operar en Venezuela,https://primicia.com.ve/mundo/trump-estados-unidos-decidira-que-companias-petroleras-podran-operar-en-venezuela/,1/9/26,primicia.com.ve,es,Trump: The United States will decide which oil companies will be able to operate in Venezuela,neutral,0.7832,0,0,0,1,0,1,0,0
Venezuela,Propaganda venezolana aprovecha el debate sobre el “Cartel de los Soles” para desviar la atención sobre la acusación contra Maduro y Flores,https://efectococuyo.com/la-humanidad/propaganda-venezolana-aprovecha-el-debate-sobre-el-cartel-de-los-soles-para-desviar-la-atencion-sobre-la-acusacion-contra-maduro-y-flores/,1/9/26,efectococuyo.com,es,Venezuelan propaganda takes advantage of the debate on the “Cartel of the Suns” to divert attention from the accusation against Maduro and Flores,negative,0.738,1,0,0,0,0,0,1,0
Venezuela,"Trump dice que de momento el Gobierno de Delcy Rodríguez parece ""ser un aliado""",https://efectococuyo.com/internacionales/trump-dice-que-de-momento-el-gobierno-de-delcy-rodriguez-parece-ser-un-aliado/,1/9/26,efectococuyo.com,es,"Trump says that at the moment the Government of Delcy Rodríguez seems ""to be an ally""",neutral,0.6202,0,1,0,1,0,1,0,0
Venezuela,Trump acoge una reunión con petroleras tras recibir muchas consultas sobre Venezuela,https://efectococuyo.com/internacionales/trump-acoge-una-reunion-con-petroleras-tras-recibir-muchas-consultas-sobre-venezuela/,1/9/26,efectococuyo.com,es,Trump hosts a meeting with oil companies after receiving many questions about Venezuela,neutral,0.5878,0,0,1,0,0,2,0,1
Venezuela,"Trump promete seguridad total, pero las grandes petroleras piden garantías antes de invertir en Venezuela",https://efectococuyo.com/economia/trump-promete-seguridad-total-pero-las-grandes-petroleras-piden-garantias-antes-de-invertir-en-venezuela/,1/9/26,efectococuyo.com,es,"Trump promises total security, but big oil companies ask for guarantees before investing in Venezuela",neutral,0.5758,0,0,0,0,0,1,0,0
Venezuela,Los pesos pesados del petróleo que Trump convocó para decidir el futuro de Venezuela,https://lapatilla.com/2026/01/09/los-pesos-pesados-del-petroleo-que-trump-convoco-para-decidir-el-futuro-de-venezuela/,1/9/26,lapatilla.com,es,The oil heavyweights that Trump summoned to decide the future of Venezuela,neutral,0.6817,0,0,0,0,0,1,0,0
Venezuela,Trump dice que no habrá segundo ataque en Venezuela…por ahora,https://runrun.es/inicio/596775/trump-dice-que-no-habra-segundo-ataque-en-venezuelapor-ahora/,1/9/26,runrun.es,es,Trump says there will be no second attack in Venezuela…for now,neutral,0.7519,1,1,0,0,0,1,0,0
Venezuela,Propaganda del gobierno intenta desviar la atención sobre acusación contra Maduro y Flores,https://runrun.es/inicio/596805/propaganda-del-gobierno-intenta-desviar-la-atencion-sobre-acusacion-contra-maduro-y-flores/,1/9/26,runrun.es,es,Government propaganda tries to divert attention from accusations against Maduro and Flores,negative,0.7945,0,1,0,0,0,0,0,0
Venezuela,"Trump expresó que ""muy pronto"" podría reunirse con representantes del régimen chavista",https://lapatilla.com/2026/01/09/trump-expreso-que-muy-pronto-podria-reunirse-con-representantes-del-regimen-chavista/,1/9/26,lapatilla.com,es,"Trump expressed that ""very soon"" he could meet with representatives of the Chavista regime",neutral,0.4765,0,0,0,0,0,1,0,0
Venezuela,Trump invita a China y Rusia a comprar crudo venezolano gestionado por EE.UU.,https://elsiglo.com.ve/trump-invita-a-china-y-rusia-a-comprar-crudo-venezolano-gestionado-por-ee-uu/,1/9/26,elsiglo.com.ve,es,Trump invites China and Russia to buy US-managed Venezuelan crude,neutral,0.5039,0,0,0,0,0,1,1,0
Venezuela,"Director ejecutivo de ExxonMobil afirmó ante Trump que operar en Venezuela ""es inviable""",https://lapatilla.com/2026/01/09/director-ejecutivo-de-exxonmobil-afirmo-ante-trump-que-operar-en-venezuela-es-inviable/,1/9/26,lapatilla.com,es,"CEO of ExxonMobil told Trump that operating in Venezuela ""is unviable""",negative,0.798,0,0,0,0,0,1,0,0
Venezuela,Donald Trump considera que María Corina Machado podría formar parte del gobierno de transición en Venezuela,https://lapatilla.com/2026/01/09/donald-trump-considera-que-maria-corina-machado-podria-formar-parte-del-gobierno-de-transicion-en-venezuela/,1/9/26,lapatilla.com,es,Donald Trump considers that María Corina Machado could be part of the transitional government in Venezuela,neutral,0.6603,0,1,0,0,0,1,0,1
Venezuela,Trump exigió 100.000 millones de dólares a las petroleras para relanzar la industria venezolana,https://lapatilla.com/2026/01/09/trump-exigio-100-000-millones-de-dolares-a-las-petroleras-para-relanzar-la-industria-venezolana/,1/9/26,lapatilla.com,es,Trump demanded 100 billion dollars from oil companies to relaunch the Venezuelan industry,neutral,0.4571,0,0,0,0,0,1,0,0
Venezuela,Trump invitó a China y Rusia a comprar crudo venezolano gestionado por EEUU,https://lapatilla.com/2026/01/09/trump-invito-a-china-y-rusia-a-comprar-crudo-venezolano-gestionado-por-eeuu/,1/9/26,lapatilla.com,es,Trump invited China and Russia to buy Venezuelan crude oil managed by the US,negative,0.6111,0,0,0,0,0,1,1,0
